Res_SecondMoment
                1           2           3           4           5           6           7           8           9          10 
   24  3.4015e+02 -2.3528e+01  7.1059e+02  3.5718e+02  1.1902e+03 -5.2714e+02  2.6993e+02 -4.5643e+02  7.2469e+01 -6.5649e+01 
   25  3.2040e+02  1.7788e+01 -8.8818e+01 -4.5976e+02  3.8830e+02  8.0909e+02  1.0601e+03 -5.5958e+02  3.6517e+01 -1.1630e+02 
   26 -5.6056e+01 -1.0766e+00 -9.6212e+01  4.9875e+02  4.4056e+02 -1.0828e+02  9.7951e+01  2.0430e+01  3.0573e+01  7.8832e+01 
   27  4.6423e+01 -2.1623e+01  7.1197e+01  1.3931e+02  1.6308e+02  3.7502e+02 -1.8221e+02  7.7700e+00  5.2083e+01 -7.6675e+00 
   28 -3.4997e+00  2.2027e+01 -1.2752e+01  1.0279e+02  1.9258e+02 -1.4908e+02  8.3655e+02  1.7781e+02  1.1718e+02 -3.2828e+01 
   29 -3.8691e+00  4.5584e+01 -2.3063e+01  1.2941e+02 -1.5064e+02  5.6690e+02  5.6377e+02  1.8371e+02  1.2416e+02 -3.8032e+01 
   30  4.6840e+00  3.1014e+01 -3.1824e+01  2.1284e+02 -1.7857e+02  9.5543e+02 -1.8284e+00  5.5212e+01  3.8122e+01  7.4145e+01 
   31 -2.0605e+01 -8.5973e-01 -9.1215e+01  1.1655e+02  5.0562e+02  8.8584e+01  8.4164e+01  7.0373e+01  8.9773e-01  8.3283e+01 
   32  5.5948e+01  2.3895e+01  5.6417e+01  1.0188e+03  1.1255e+03  2.5543e+02  1.3960e+03  4.5101e+02 -2.9819e+01  4.0048e+02 
   33 -6.5825e+00  1.2007e+02 -2.1858e+02  1.0134e+02  6.1280e+02 -5.1726e+01  6.4102e+02 -6.6956e+02 -2.4239e+01  9.6384e+01 
   34 -5.8842e+01  2.1874e+01  1.5413e+02  6.7187e+02  1.7182e+02  4.0036e-02  4.1011e+02  5.4379e+02 -7.4877e+00  4.8295e+02 
   35  3.3011e+02 -2.5824e+01 -3.8207e+02 -1.2729e+02  5.5070e+02  2.3623e+02  3.4236e+02 -6.4743e+01  4.2116e+00  1.4822e+02 
   36 -3.4421e+02  3.6444e+01  1.9152e+01  8.2823e+02 -6.2225e+02  7.3769e+02  1.1290e+03  3.9888e+01  8.3586e+01  1.4745e+02 
   37  2.3295e+02 -6.2945e+01  1.6837e+02 -4.6744e+02  1.0469e+03  3.3042e+02 -2.3215e+02  2.5001e+01 -9.0059e+00 -3.0797e+02 
   38  1.3112e+03 -9.1366e+01 -1.0845e+03 -7.7313e+02  8.7064e+02  1.9801e+02 -2.2082e+03  4.3824e+02 -9.8454e+01 -5.7087e+01 
   39  1.4941e+02 -2.1167e+01  1.5763e+02 -2.2828e+02 -1.5791e+02 -4.8445e+01 -2.2915e+02  9.5937e+01  3.5681e+00 -2.1880e+01 
   40 -5.6885e+01  1.5141e+00 -7.6352e+01  5.6972e+02 -7.4380e+02 -1.2819e+02 -1.6000e+02  5.2588e+02 -4.9097e+00 -1.9243e+02 
   41  2.8410e+02  2.1729e+01 -2.8772e+02  3.1489e+02  4.2886e+01  8.3329e+01 -5.9639e+02  6.4340e+02 -1.7193e+01  3.7588e+02 
   42  2.8835e+02 -2.0858e+01 -4.5295e+02 -1.0625e+02 -2.7578e+02  4.7724e+02 -5.8552e+02  5.3998e+02 -5.5560e+01  6.0150e+02 
   43  1.2756e+01 -1.4146e+01  5.6599e+01 -4.7274e+01 -7.4028e+01  2.6631e+02  4.3270e+01 -2.1658e+01 -6.2928e+00  2.8649e+01 
   44 -1.2494e+03 -1.0234e+02  1.7370e+02  5.2152e+02 -2.5833e+01  1.0922e+03  4.9020e+03 -4.8252e+03  2.6542e+01 -1.5145e+02 
   45  1.7246e+02 -6.8531e+00 -3.6719e+01  2.0424e+01  5.0752e+02 -2.8763e+02  8.6073e+01 -2.0978e+01 -1.2740e-01  1.9646e+02 
   46  4.1612e+02  4.9732e+01  1.8605e+02  1.3962e+02  1.1295e+03  3.1382e+02 -1.9446e+03  1.3923e+03  2.6657e+01 -4.5584e+02 
   47  1.0028e+02  1.1937e+01  1.6396e+02  9.8758e+01 -1.4520e+02  6.5735e+00  5.2153e+01  6.7393e+00  3.2667e+00  6.7169e+00 
   48  5.0761e+02 -5.5094e+01  7.2975e+02  4.0252e+02  3.1312e+02  5.1419e+01  2.4360e+01 -3.6272e+02  4.0056e+01 -8.8280e+01 
   49  3.1018e+02 -3.4715e+01  5.3075e+02  2.9971e+02  4.6495e+02  1.3875e+02  6.6677e+01 -2.3205e+02  4.1618e+01 -6.1534e+01 
   50  3.0587e+02 -3.4380e+01  4.5217e+02  2.8233e+02  2.4540e+02  4.5816e+02  5.5011e+01 -1.3638e+02  3.5619e+00 -6.1566e+01 
   51  2.9460e+02 -3.3197e+01  4.7333e+02  2.8876e+02  2.3549e+02  4.1526e+02  1.4658e+01 -1.6420e+02  3.7198e+00 -6.7056e+01 
